parameter ghg_rep_a /
*=>gams2prm ghg_rep_a
* Called from c:\D drive\1eppa\5_eppa\jen_ghg\2004_1997\97_chm.gms, line 134
* 06/28/10 18:46:22
OC.BRA   5.0899269813058E+00
OC.LAM   3.6062059021983E+00
OC.REA   1.5232687916940E+00
AMO.USA   1.9546913990652E+00
AMO.CAN   3.1311151409469E-01
AMO.MEX   6.5109307328285E-01
AMO.JPN   1.6090997629873E-01
AMO.ANZ   6.7478630236243E-01
AMO.EUR   2.2226916326276E+00
AMO.ROE   6.0966914959405E-01
AMO.RUS   2.4855923301298E+00
AMO.ASI   1.0971847969467E+00
AMO.CHN   5.6952403264034E+00
AMO.IND   5.0237491088799E+00
AMO.AFR   3.6635851600300E+00
AMO.MES   7.8948663651589E-01
AMO.BRA   1.3979789700961E+00
AMO.LAM   2.5247410761918E+00
AMO.REA   2.9498854748084E-01
/;
parameter ghg_rep_n /
*=>gams2prm ghg_rep_n
* Called from c:\D drive\1eppa\5_eppa\jen_ghg\2004_1997\97_chm.gms, line 415
* 06/28/10 18:46:22
CO2.USA   1.3822017152364E+03
CO2.CAN   1.2916357809822E+02
CO2.MEX   8.9280236805656E+01
CO2.JPN   2.9666181072434E+02
CO2.ANZ   9.0927207398088E+01
CO2.EUR   1.0214723354383E+03
CO2.ROE   2.2151252934106E+02
CO2.RUS   3.5315646757301E+02
CO2.ASI   3.8997109442839E+02
CO2.CHN   1.0384490544193E+03
CO2.IND   2.5755057909075E+02
CO2.AFR   1.9313943807707E+02
CO2.MES   3.0230225722432E+02
CO2.BRA   7.5216967415613E+01
CO2.LAM   1.4760469239635E+02
CO2.REA   8.4526536333225E+01
CH4.USA   1.6978586987693E+01
CH4.CAN   3.2625216138166E+00
CH4.MEX   5.9860593937716E+00
CH4.JPN   3.0705384340562E-01
CH4.ANZ   2.1641830600424E+00
CH4.EUR   1.0661326797782E+01
CH4.ROE   1.6469612946941E+01
CH4.RUS   1.1497228717111E+01
CH4.ASI   6.3341531198072E+00
CH4.CHN   1.4062668547274E+01
CH4.IND   7.8315622998328E+00
CH4.AFR   1.2718786288951E+01
CH4.MES   1.1322436577774E+01
CH4.BRA   2.0678933596346E+00
CH4.LAM   7.2094056287770E+00
CH4.REA   8.2483208173872E+00
N2O.USA   2.9634385064590E-01
N2O.CAN   6.0470509644311E-02
N2O.MEX   1.7770403468413E-02
N2O.JPN   3.9503990444169E-02
N2O.ANZ   2.8765041585560E-02
N2O.EUR   5.4973190585737E-01
N2O.ROE   2.5568925853831E-02
N2O.RUS   1.4574287736684E-02
N2O.ASI   4.9348026897894E-02
N2O.CHN   1.8818729428420E-01
N2O.IND   2.9532109361175E-02
N2O.AFR   5.8041461688197E-02
N2O.MES   2.4034790302601E-02
N2O.BRA   2.6591682887984E-02
N2O.LAM   2.4929702707485E-02
N2O.REA   1.1506016634224E-02
PFC.USA   4.2770514522585E+00
PFC.CAN   4.4500556363000E-01
PFC.MEX   1.1499349774761E-02
PFC.JPN   1.1283496058319E+00
PFC.ANZ   3.9129910322944E-01
PFC.EUR   3.4918835586991E+00
PFC.ROE   1.9452531350825E-01
PFC.RUS   1.1728051926706E+00
PFC.ASI   1.1219896302581E+00
PFC.CHN   1.9981886893529E+00
PFC.IND   2.8208740145797E-01
PFC.AFR   4.9254477498935E-01
PFC.MES   3.5198289059171E-01
PFC.BRA   2.9140251719730E-01
PFC.LAM   1.4441641504840E-01
PFC.REA   1.0898685415018E+00
SF6.USA   2.2898459671104E+00
