table cem_ref_e5(t,r)


	USA	CAN	MEX	JPN	ANZ	EUR	ROE	RUS	ASI	kor	idz	CHN	IND	BRA	AFR	MES	LAM	REA
												
2065	0.38	0.38	0.38	0.38	0.38	0.38	0.38	0.38	0.38	0.38	0.38	0.020	0.30	0.38	0.38	0.38	0.38	0.38
2070	0.34	0.34	0.34	0.34	0.34	0.34	0.34	0.34	0.34	0.34	0.34	0.010	0.22	0.34	0.34	0.34	0.34	0.34
2075	0.30	0.30	0.30	0.30	0.30	0.30	0.30	0.30	0.30	0.30	0.30	0.009	0.18	0.30	0.30	0.30	0.30	0.30
2080	0.26	0.26	0.26	0.26	0.26	0.26	0.26	0.26	0.26	0.26	0.26	0.007	0.14	0.26	0.26	0.26	0.26	0.26
2085	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.005	0.11	0.22	0.22	0.22	0.22	0.22
2090	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.003	0.09	0.18	0.18	0.18	0.18	0.18
2095	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.002	0.07	0.14	0.14	0.14	0.14	0.14
2100	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.001	0.05	0.10	0.10	0.10	0.10	0.10
;


table def_ref_e6(t,r)  deforestation emissions trend for calibrating RCP85 of IPCC

	USA	CAN	MEX	JPN	ANZ	EUR	ROE	RUS	ASI	CHN	IND	BRA	AFR	MES	LAM	REA	KOR	IDZ
2007	1.0376	1.0852	1.0662	1.0539	1.0530	1.0589	1.0936	1.0992	1.0342	1.0214	1.0622	1.0589	1.0968	1.1801	1.0469	1.0384	1.0150	1.0328
2010	1.1244	1.2062	0.8474	1.0942	1.0127	0.8068	0.9351	1.0401	0.9860	0.6099	0.7481	0.8052	0.8230	1.0366	0.8047	0.7803	1.0908	0.7635
2015	0.8614	1.0000	0.6178	1.0090	0.8117	0.7164	0.6791	0.7917	0.7258	0.3773	0.4872	0.6300	0.6171	0.7779	0.5880	0.5540	0.8105	0.5668
